,Product Name,Price,Original Price,Discount
0,SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,490","₹31,990",23% off
1,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,750","₹19,990",16% off
2,LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,"₹24,975","₹33,690",25% off
3,SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹13,190","₹14,990",12% off
4,LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,670","₹17,899",23% off
5,Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,190","₹24,390",37% off
6,Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹12,190","₹16,350",25% off
7,LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,690","₹18,990",12% off
8,LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹17,690","₹21,490",17% off
9,SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹37,050","₹47,990",22% off
10,Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹27,990","₹34,050",17% off
11,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,750","₹19,990",16% off
12,SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,290","₹34,990",24% off
13,Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,528","₹17,150",21% off
14,LG 260 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Smart Inverter,"₹25,925","₹36,390",28% off
15,Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,590","₹15,600",19% off
16,SAMSUNG 275 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹28,990","₹36,990",21% off
17,Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹26,090","₹33,250",21% off
18,SAMSUNG 220 L Direct Cool Single Door 4 Star Refrigerator  with Curd Maestro,"₹19,490","₹25,990",25% off
19,Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,"₹19,890","₹25,250",21% off
20,Godrej 190 L Direct Cool Single Door 5 Star Refrigerator  with Base Drawer and Intelligent Inverter Co...,"₹16,990","₹19,990",15% off
21,Godrej 185 L Direct Cool Single Door 3 Star Refrigerator,"₹13,590","₹15,990",15% off
22,SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,"₹22,600","₹26,990",16% off
23,SAMSUNG 244 L Frost Free Double Door 3 Star Refrigerator  with Curd Maestro,"₹26,390","₹31,990",17% off
