player,span,mat,inns,battingDecesending,Hs,Bf,Sr,Ave
SR Tendulkar (IND),1990-2012,234,231,34,11157,200*,56.63,12355,90.30,33,59,8,
RT Ponting (AUS/ICC),1995-2012,262,254,36,10726,145,49.20,13008,82.45,25,69,11,
ST Jayasuriya (Asia/SL),1989-2009,233,228,13,8873,189,41.26,9187,96.58,24,43,11,
V Kohli (IND),2008-2022,158,154,35,8871,183,74.54,9209,96.32,36,38,9,
KC Sangakkara (Asia/SL),2000-2015,217,201,30,8301,169,48.54,10104,82.15,18,54,5,
JH Kallis (Afr/SA),1996-2014,210,198,41,8036,139,51.18,10621,75.66,13,58,10,
DPMD Jayawardene (Asia/SL),1998-2015,241,219,33,7874,144,42.33,9309,84.58,16,45,16,
AC Gilchrist (AUS/ICC),1997-2008,202,196,10,7657,172,41.16,7708,99.33,16,43,7,
Inzamam-ul-Haq (Asia/PAK),1992-2007,215,191,46,7434,137*,51.26,9405,79.04,7,55,6,
SC Ganguly (Asia/IND),1996-2007,149,147,21,6938,183,55.06,8909,77.87,18,41,8,
AB de Villiers (Afr/SA),2005-2018,141,135,34,6668,176,66.01,6211,107.35,21,37,3,
RG Sharma (IND),2007-2022,143,139,28,6595,264,59.41,7153,92.19,22,30,7,
BC Lara (ICC/WI),1991-2007,139,134,28,6553,169,61.82,7591,86.32,16,42,2,
DL Haynes (WI),1978-1994,159,159,26,6524,152*,49.05,9832,66.35,16,40,9,
MS Dhoni (Asia/IND),2004-2019,205,162,68,6486,183*,69.00,6745,96.16,7,44,6,
Mohammad Yousuf (Asia/PAK),1998-2010,164,151,36,6426,141*,55.87,8176,78.59,14,41,3,
Saeed Anwar (PAK),1989-2003,142,140,16,6347,194,51.18,7537,84.21,16,37,7,
TM Dilshan (SL),1999-2016,174,156,30,6287,161*,49.89,7055,89.11,18,30,1,
HM Amla (SA),2008-2019,108,107,11,6189,159,64.46,6820,90.74,24,29,2,
ME Waugh (AUS),1988-2002,152,146,18,6054,173,47.29,7665,78.98,15,38,8,
Yuvraj Singh (Asia/IND),2000-2017,174,156,36,6008,150,50.06,6410,93.72,11,39,4,
V Sehwag (Asia/IND),2000-2012,133,131,7,5748,219,46.35,5248,109.52,14,28,5,
R Dravid (IND),1996-2009,160,142,29,5729,153,50.69,7612,75.26,8,47,1,
MJ Clarke (AUS),2003-2015,167,150,39,5656,105*,50.95,6938,81.52,5,45,5,
MS Atapattu (SL),1992-2007,143,136,28,5598,132*,51.83,7980,70.15,8,43,6,
HH Gibbs (SA),1996-2010,154,148,11,5542,175,40.45,6458,85.81,15,27,11,
LRPL Taylor (NZ),2006-2022,123,114,29,5295,181*,62.29,6058,87.40,14,35,4,
CH Gayle (ICC/WI),1999-2019,118,118,14,5265,215,50.62,5900,89.23,14,30,4,
G Kirsten (SA),1994-2003,120,120,14,5224,188*,49.28,6895,75.76,12,36,8,
MJ Guptill (NZ),2009-2022,111,111,16,5200,237*,54.73,5624,92.46,15,29,10,
IVA Richards (WI),1975-1991,132,114,24,5129,189*,56.98,5514,93.01,11,32,5,
Shahid Afridi (Asia/PAK),1996-2015,218,193,23,5116,124,30.09,4209,121.54,5,29,8,
M Azharuddin (IND),1985-2000,160,143,39,4992,153*,48.00,6275,79.55,4,32,4,
PA de Silva (SL),1984-2003,129,122,25,4905,145,50.56,5642,86.93,8,35,2,
EJG Morgan (ENG/IRE),2006-2022,136,126,30,4852,148,50.54,4962,97.78,9,32,8,
Younis Khan (PAK),2000-2015,149,141,18,4816,144,39.15,5914,81.43,6,35,7,
Tamim Iqbal (BAN),2007-2022,104,104,10,4779,158,50.84,5734,83.34,11,30,5,
S Dhawan (IND),2010-2022,103,102,9,4741,137,50.97,5006,94.70,13,28,2,
GC Smith (SA),2002-2013,115,115,10,4692,134*,44.68,5594,83.87,8,35,5,
ML Hayden (AUS/ICC),1993-2008,119,114,12,4551,158,44.61,5795,78.53,8,27,6,
MG Bevan (AUS),1994-2004,155,122,53,4502,107,65.24,5951,75.65,5,32,4,
Shoaib Malik (PAK),1999-2019,156,128,31,4363,143,44.97,4656,93.70,7,27,4,
SP Fleming (ICC/NZ),1994-2007,122,120,18,4357,134*,42.71,5607,77.70,7,28,5,
SR Waugh (AUS),1986-2002,196,164,50,4324,120*,37.92,5364,80.61,2,26,6,
DM Jones (AUS),1984-1994,98,96,20,4275,145,56.25,5756,74.27,5,36,1,
NJ Astle (NZ),1995-2007,92,92,14,4254,145*,54.53,5495,77.41,14,26,6,
DR Martyn (AUS),1992-2006,153,130,49,4250,144*,52.46,5245,81.02,4,33,7,
A Symonds (AUS),1998-2009,152,117,28,4240,156,47.64,4374,96.93,6,27,8,
Q de Kock (SA),2013-2022,82,82,2,4227,178,52.83,4219,100.18,14,21,1,
Saleem Malik (PAK),1982-1999,154,130,31,4206,102,42.48,5070,82.95,5,29,10,
