,Product Name,Price,Original Price,Discount
0,CLYMB,₹288,₹999,71% off
1,HOTSTYLE,₹376,₹999,62% off
2,World Wear Footwear,₹419,₹998,58% off
3,aadi,₹499,"₹1,999",75% off
4,asian,₹526,₹999,47% off
5,Mast & Harbour,₹399,₹999,60% off
6,asian,₹799,"₹1,299",38% off
7,World Wear Footwear,₹419,₹999,58% off
8,CAMPUS,₹899,"₹1,049",14% off
9,JK PORT,₹512,"₹1,149",55% off
10,CLYMB,₹288,₹999,71% off
11,HOTSTYLE,₹376,₹999,62% off
12,World Wear Footwear,₹419,₹998,58% off
13,aadi,₹499,"₹1,999",75% off
14,asian,₹526,₹999,47% off
15,Mast & Harbour,₹399,₹999,60% off
16,asian,₹799,"₹1,299",38% off
17,World Wear Footwear,₹419,₹999,58% off
18,CAMPUS,₹899,"₹1,049",14% off
19,JK PORT,₹512,"₹1,149",55% off
