player,span,mat,inns,battingDecesending,Hs,Bf,Sr,Ave
RG Sharma (IND),2007-2022,99,94,14,3039,118,37.98,2131,142.60,3,25,3,274,149,
V Kohli (IND),2010-2022,73,69,28,2799,122*,68.26,2012,139.11,1,26,1,243,84,
Babar Azam (PAK),2016-2022,64,63,11,2353,122,45.25,1796,131.01,2,22,4,255,36,
MJ Guptill (NZ),2009-2022,68,65,7,2222,101*,38.31,1555,142.89,1,14,1,191,116,
Mohammad Rizwan (PAK),2015-2022,47,42,13,2009,104*,69.27,1510,133.04,1,18,1,174,52,
DA Warner (AUS),2009-2022,58,58,8,1944,100*,38.88,1265,153.67,1,16,3,198,82,
AJ Finch (AUS),2011-2022,54,54,10,1901,172,43.20,1273,149.33,2,15,5,175,89,
KL Rahul (IND),2016-2022,48,47,7,1814,101*,45.35,1297,139.86,1,20,2,150,80,
Mohammad Hafeez (PAK),2006-2021,70,64,9,1799,86*,32.70,1421,126.60,0,11,0,173,58,
Shoaib Malik (PAK),2006-2021,86,76,30,1768,63*,38.43,1353,130.67,0,8,1,139,56,
Mohammad Shahzad (AFG),2010-2021,48,48,3,1708,118*,37.95,1242,137.52,1,11,2,183,66,
PR Stirling (IRE),2010-2022,49,49,9,1704,115*,42.60,1238,137.64,1,16,3,191,64,
EJG Morgan (ENG),2009-2022,63,55,17,1598,91,42.05,1082,147.68,0,11,2,123,83,
JC Buttler (ENG),2011-2022,55,49,16,1590,101*,48.18,1054,150.85,1,13,1,148,73,
GJ Maxwell (AUS),2012-2022,57,50,13,1487,145*,40.18,918,161.98,3,8,2,125,75,
AD Hales (ENG),2011-2022,39,39,6,1367,116*,41.42,956,142.99,1,9,2,139,51,
Mohammad Nabi (AFG),2010-2022,66,58,15,1341,89,31.18,848,158.13,0,4,2,90,79,
S Dhawan (IND),2011-2021,45,45,3,1279,92,30.45,1004,127.39,0,9,1,143,31,
BB McCullum (NZ),2005-2014,32,32,9,1279,123,55.60,868,147.35,1,11,2,118,58,
KS Williamson (NZ),2011-2022,44,42,9,1269,73*,38.45,1020,124.41,0,8,2,126,28,
Q de Kock (SA),2012-2022,43,43,5,1266,79*,33.31,973,130.11,0,9,3,132,38,
CH Gayle (WI),2007-2021,37,36,4,1241,100*,38.78,854,145.31,1,10,1,98,88,
DA Miller (SA/World),2010-2022,63,52,27,1240,101*,49.60,827,149.93,1,5,0,84,61,
TM Dilshan (SL),2006-2016,42,41,10,1235,104*,39.83,996,123.99,1,7,3,153,17,
AB de Villiers (SA),2006-2017,49,46,8,1169,79*,30.76,828,141.18,0,7,3,109,39,
Najibullah Zadran (AFG),2013-2022,56,46,23,1160,72*,50.43,746,155.49,0,7,1,74,70,
DJ Malan (ENG),2017-2022,33,31,8,1157,103*,50.30,796,145.35,1,10,0,111,46,
Fakhar Zaman (PAK),2017-2022,48,46,2,1137,91,25.84,866,131.29,0,7,1,116,38,
JP Duminy (SA),2007-2019,51,46,17,1099,96*,37.89,877,125.31,0,5,4,78,43,
DPMD Jayawardene (SL),2006-2014,37,37,8,1084,100,37.37,815,133.00,1,7,3,132,20,
SA Yadav (IND),2021-2022,32,30,8,1073,111*,48.77,579,185.31,1,11,3,103,61,
Ahmed Shehzad (PAK),2009-2018,33,33,2,1070,111*,34.51,861,124.27,1,7,0,115,26,
RD Berrington (SCOT),2008-2022,35,30,11,1059,100,55.73,753,140.63,1,4,1,102,33,
SK Raina (IND),2006-2018,50,41,9,1054,101,32.93,751,140.34,1,3,2,97,37,
A Balbirnie (IRE),2015-2022,33,31,3,1022,83,36.50,714,143.13,0,7,1,118,26,
Asghar Afghan (AFG),2010-2021,53,46,5,1008,55*,24.58,859,117.34,0,2,3,67,49,
KJ O'Brien (IRE),2008-2021,45,43,9,1004,124,29.52,742,135.30,1,2,4,86,43,
MN Samuels (WI),2007-2018,34,33,8,1003,89*,40.12,815,123.06,0,7,0,90,43,
Umar Akmal (PAK),2009-2016,43,38,9,988,94,34.06,742,133.15,0,6,5,81,35,
E Lewis (WI),2016-2022,22,22,1,985,125*,46.90,566,174.02,2,7,1,63,85,
GD Phillips (NZ),2017-2022,33,27,8,955,108,50.26,592,161.31,2,6,0,65,53,
RR Hendricks (SA),2014-2022,27,27,1,950,74,36.53,720,131.94,0,8,1,109,17,
Shahid Afridi (PAK),2006-2016,56,49,11,950,54*,25.00,581,163.51,0,4,2,79,44,
JJ Roy (ENG),2014-2022,36,36,0,949,78,26.36,676,140.38,0,5,2,94,45,
LMP Simmons (WI),2009-2021,33,33,9,949,91*,39.54,734,129.29,0,6,4,71,52,
S Ssesazi (UGA),2021-2022,33,33,5,943,100*,33.67,796,118.46,1,6,4,110,24,
Shakib Al Hasan (BAN),2006-2022,40,39,8,932,70*,30.06,733,127.14,0,4,1,96,15,
SR Watson (AUS),2007-2016,29,27,3,931,81,38.79,605,153.88,0,8,0,70,60,
JM Bairstow (ENG),2011-2022,40,35,11,907,90,37.79,608,149.17,0,7,2,83,42,
Yuvraj Singh (IND),2007-2017,38,32,9,898,77*,39.04,609,147.45,0,6,1,62,61,
