,Product Name,Price,Original Price,Discount
0,"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)","₹17,999","₹22,999",21% off
1,"REDMI 10 (Pacific Blue, 64 GB)","₹9,999","₹14,999",33% off
2,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799","₹9,999",12% off
3,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799","₹9,999",12% off
4,"REDMI 9i Sport (Carbon Black, 64 GB)","₹8,799","₹9,999",12% off
5,"REDMI 10 (Midnight Black, 64 GB)","₹9,999","₹14,999",33% off
6,"REDMI Note 10 Pro Max (Dark Night, 128 GB)","₹17,999","₹22,999",21% off
7,"REDMI Note 10S (Cosmic Purple, 64 GB)","₹12,499","₹16,999",26% off
8,"REDMI Note 10S (Frost White, 64 GB)","₹12,499","₹16,999",26% off
9,"REDMI 10 (Caribbean Green, 64 GB)","₹9,999","₹14,999",33% off
10,"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹17,999","₹22,999",21% off
11,"REDMI Note 10T 5G (Mint Green, 128 GB)","₹13,999","₹18,999",26% off
12,"REDMI Note 10T 5G (Metallic Blue, 64 GB)","₹11,999","₹16,999",29% off
13,"REDMI Note 10 Pro (Dark Night, 128 GB)","₹15,999","₹19,999",20% off
14,"REDMI 10A (Slate grey, 64 GB)","₹8,970","₹9,179",2% off
15,"REDMI Note 10S (Deep Sea Blue, 64 GB)","₹12,499","₹16,999",26% off
16,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,764","₹7,998",2% off
17,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹6,966",No Original Price,No Discount
18,"REDMI Note 10T 5G (Chromium White, 64 GB)","₹11,999","₹16,999",29% off
19,"Redmi 9A Sport (Coral Green, 32 GB)","₹6,995",No Original Price,No Discount
20,"Redmi 9A Sport (Carbon Black, 32 GB)","₹6,999",No Original Price,No Discount
21,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","₹15,999","₹19,999",20% off
22,"REDMI 9 Activ (Carbon Black, 64 GB)","₹9,250","₹9,650",4% off
23,"REDMI Note 10T 5G (Graphite Black, 128 GB)","₹13,999","₹18,999",26% off
